Data File,Dataset Type,Category,Resolution (C),Ocean Resolution (mx),File Extension,File Size (Bytes),YYYY,Sub-Category 1,Sub-Category 2,Sub-Category 3
C192.slope_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451326,,C192,,
C192.substrate_temperature.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451371,,C192,,
C192_grid.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,8303448,,C192,,
C192.maximum_snow_albedo.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451266,,C192,,
C192_grid.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,8303448,,C192,,
C192.soil_color.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451389,,C192,,
C192.slope_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451326,,C192,,
C192.facsf.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451321,,C192,,
C192_grid.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,8303448,,C192,,
C192.slope_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451326,,C192,,
C192.soil_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451256,,C192,,
C192.facsf.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451321,,C192,,
oro_C192.mx050.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,050,.nc,3267909,,C192,,
C192.substrate_temperature.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451371,,C192,,
C192.facsf.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451321,,C192,,
C192.soil_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451256,,C192,,
C192.soil_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451256,,C192,,
C192.slope_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451326,,C192,,
C192.maximum_snow_albedo.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451266,,C192,,
oro_C192.mx050.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,050,.nc,3267909,,C192,,
C192.vegetation_greenness.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,2073327,,C192,,
oro_C192.mx050.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,050,.nc,3267909,,C192,,
C192.soil_color.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451389,,C192,,
C192.substrate_temperature.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451371,,C192,,
C192.facsf.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451321,,C192,,
C192.soil_color.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451389,,C192,,
C192.maximum_snow_albedo.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451266,,C192,,
C192.substrate_temperature.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451371,,C192,,
C192.vegetation_greenness.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,2073327,,C192,,
grid_spec.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,21974,,C192,,
C192.maximum_snow_albedo.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451266,,C192,,
C192.slope_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451326,,C192,,
C192.substrate_temperature.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451371,,C192,,
C192.vegetation_greenness.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,2073327,,C192,,
C192.vegetation_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451365,,C192,,
oro_C192.mx050.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,050,.nc,3267909,,C192,,
C192.vegetation_greenness.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,2073327,,C192,,
C192.soil_color.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451389,,C192,,
C192.vegetation_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451365,,C192,,
C192.vegetation_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451365,,C192,,
C192.snowfree_albedo.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,7387004,,C192,,
C192.snowfree_albedo.tile4.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,7387004,,C192,,
oro_C192.mx050.tile3.nc,UFS_Land-DA_Dev,NAGAPE,192,050,.nc,3267909,,C192,,
C192.soil_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451256,,C192,,
C192.vegetation_greenness.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,2073327,,C192,,
C192.soil_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451256,,C192,,
C192.facsf.tile2.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451321,,C192,,
C192.snowfree_albedo.tile6.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,7387004,,C192,,
C192.substrate_temperature.tile5.nc,UFS_Land-DA_Dev,NAGAPE,192,,.nc,451371,,C192,,
C384.maximum_snow_albedo.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778370,,C384,,
C384.snowfree_albedo.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,29505404,,C384,,
C384.vegetation_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778469,,C384,,
C384.substrate_temperature.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778475,,C384,,
C384.slope_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778430,,C384,,
C384.slope_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778430,,C384,,
C384.soil_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778360,,C384,,
C384.slope_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778430,,C384,,
oro_C384.mx025.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,025,.nc,13000006,,C384,,
C384.snowfree_albedo.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,29505404,,C384,,
C384.soil_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778360,,C384,,
C384.facsf.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778425,,C384,,
C384.soil_color.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778493,,C384,,
C384.vegetation_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778469,,C384,,
C384.substrate_temperature.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778475,,C384,,
C384.vegetation_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778469,,C384,,
C384.facsf.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778425,,C384,,
oro_C384.mx025.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,025,.nc,13000006,,C384,,
C384.slope_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778430,,C384,,
C384.maximum_snow_albedo.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778370,,C384,,
C384.substrate_temperature.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778475,,C384,,
C384.slope_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778430,,C384,,
C384.maximum_snow_albedo.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778370,,C384,,
C384.snowfree_albedo.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,29505404,,C384,,
C384.vegetation_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778469,,C384,,
C384.soil_color.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778493,,C384,,
C384.vegetation_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778469,,C384,,
C384_grid.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,33106812,,C384,,
C384.substrate_temperature.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778475,,C384,,
C384.vegetation_greenness.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,8266479,,C384,,
C384.soil_color.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778493,,C384,,
C384.maximum_snow_albedo.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778370,,C384,,
C384.vegetation_greenness.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,8266479,,C384,,
oro_C384.mx025.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,025,.nc,13000006,,C384,,
C384.facsf.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778425,,C384,,
C384.facsf.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778425,,C384,,
C384.vegetation_greenness.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,8266479,,C384,,
C384.vegetation_greenness.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,8266479,,C384,,
C384_grid.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,33106812,,C384,,
C384.substrate_temperature.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778475,,C384,,
C384.facsf.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778425,,C384,,
C384.soil_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778360,,C384,,
oro_C384.mx025.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,025,.nc,13000006,,C384,,
grid_spec.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,22018,,C384,,
C384_grid.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,33106812,,C384,,
C384.maximum_snow_albedo.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778370,,C384,,
C384.slope_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778430,,C384,,
C384.soil_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778360,,C384,,
C384.soil_color.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778493,,C384,,
oro_C384.mx025.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,025,.nc,13000006,,C384,,
C384.substrate_temperature.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778475,,C384,,
C384.facsf.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778425,,C384,,
C384.soil_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778360,,C384,,
C384.vegetation_greenness.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,8266479,,C384,,
C384_grid.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,33106812,,C384,,
oro_C384.mx025.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,025,.nc,13000006,,C384,,
C384.vegetation_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778469,,C384,,
C384.snowfree_albedo.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,29505404,,C384,,
C384_grid.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,33106812,,C384,,
C384.snowfree_albedo.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,29505404,,C384,,
C384.soil_color.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778493,,C384,,
C384_grid.tile1.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,33106812,,C384,,
C384.soil_color.tile6.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778493,,C384,,
C384.snowfree_albedo.tile4.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,29505404,,C384,,
C384.vegetation_greenness.tile3.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,8266479,,C384,,
C384.maximum_snow_albedo.tile2.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778370,,C384,,
C384.soil_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,384,,.nc,1778360,,C384,,
C96.slope_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119550,,C96,,
C96.substrate_temperature.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119595,,C96,,
C96.vegetation_greenness.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,525039,,C96,,
C96.maximum_snow_albedo.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119490,,C96,,
C96.snowfree_albedo.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1857404,,C96,,
C96.vegetation_greenness.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,525039,,C96,,
C96_grid.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,2094935,,C96,,
C96.soil_color.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119613,,C96,,
C96.snowfree_albedo.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1857404,,C96,,
C96.substrate_temperature.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119595,,C96,,
oro_C96.mx100.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,100,.nc,834883,,C96,,
C96.soil_color.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119613,,C96,,
C96.maximum_snow_albedo.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119490,,C96,,
C96.substrate_temperature.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119595,,C96,,
C96.vegetation_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119589,,C96,,
C96_grid.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,2094935,,C96,,
C96.soil_color.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119613,,C96,,
C96_grid.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,2094935,,C96,,
C96.soil_color.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119613,,C96,,
oro_C96.mx100.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,100,.nc,834883,,C96,,
C96.facsf.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119545,,C96,,
C96.maximum_snow_albedo.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119490,,C96,,
C96.facsf.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119545,,C96,,
C96.soil_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119480,,C96,,
C96.slope_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119550,,C96,,
C96.slope_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119550,,C96,,
C96.facsf.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119545,,C96,,
C96.soil_color.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119613,,C96,,
oro_C96.mx100.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,100,.nc,834883,,C96,,
C96.vegetation_greenness.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,525039,,C96,,
C96.facsf.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119545,,C96,,
C96.substrate_temperature.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119595,,C96,,
C96.vegetation_greenness.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,525039,,C96,,
C96.slope_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119550,,C96,,
C96.facsf.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119545,,C96,,
C96.slope_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119550,,C96,,
C96.snowfree_albedo.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1857404,,C96,,
C96.snowfree_albedo.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1857404,,C96,,
grid_spec.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,21966,,C96,,
C96_grid.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,2094935,,C96,,
oro_C96.mx100.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,100,.nc,834883,,C96,,
C96.soil_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119480,,C96,,
C96.vegetation_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119589,,C96,,
C96.snowfree_albedo.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1857404,,C96,,
C96.vegetation_type.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119589,,C96,,
C96.maximum_snow_albedo.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119490,,C96,,
C96.soil_color.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119613,,C96,,
C96.vegetation_greenness.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,525039,,C96,,
C96_grid.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,2094935,,C96,,
C96.vegetation_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119589,,C96,,
C96.maximum_snow_albedo.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119490,,C96,,
C96.vegetation_greenness.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,525039,,C96,,
C96.soil_type.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119480,,C96,,
C96.facsf.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119545,,C96,,
C96.substrate_temperature.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119595,,C96,,
oro_C96.mx100.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,100,.nc,834883,,C96,,
C96.substrate_temperature.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119595,,C96,,
C96.soil_type.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119480,,C96,,
C96.soil_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119480,,C96,,
C96_grid.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,2094935,,C96,,
C96.vegetation_type.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119589,,C96,,
C96.slope_type.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119550,,C96,,
oro_C96.mx100.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,100,.nc,834883,,C96,,
C96.maximum_snow_albedo.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119490,,C96,,
C96.snowfree_albedo.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1857404,,C96,,
C96.soil_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119480,,C96,,
C96.vegetation_type.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,119589,,C96,,
ufs_land_restart.2019-12-21_00-00-00.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,14111215,,era5,,
ufs.cpld.datm.r.2000-01-03-00000.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,18904,,gswp3,,
ufs.cpld.lnd.out.2000-01-03-00000.tile1.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,gswp3,,
ufs_land_restart.2019-12-21_00-00-00.tile6.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11487503,,gswp3,,
ufs_land_restart.2019-12-21_00-00-00.tile4.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11487503,,gswp3,,
ufs_land_restart.2019-12-21_00-00-00.tile1.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11487503,,gswp3,,
ufs_land_restart.2019-12-21_00-00-00.tile3.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11487503,,gswp3,,
ufs_land_restart.2019-12-21_00-00-00.tile5.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11487503,,gswp3,,
ufs_land_restart.2019-12-21_00-00-00.tile2.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11487503,,gswp3,,
ufs.cpld.lnd.out.2000-01-03-00000.tile5.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,gswp3,,
ufs.cpld.lnd.out.2000-01-03-00000.tile4.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,gswp3,,
ufs.cpld.lnd.out.2000-01-03-00000.tile3.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,gswp3,,
ufs.cpld.lnd.out.2000-01-03-00000.tile6.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,gswp3,,
ufs.cpld.lnd.out.2000-01-03-00000.tile2.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,11555364,,gswp3,,
ufs.cpld.cpl.r.2000-01-03-00000.nc,UFS_Land-DA_Dev,NAGAPE,,,.nc,13390912,,gswp3,,
ufs-land_C96_static_fields.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,7991744,,,,
ufs-land_C96_init_fields.tile1.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,665156,,,,
ufs-land_C96_init_fields.tile5.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,665156,,,,
ufs-land_C96_init_fields.tile4.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,665156,,,,
ufs-land_C96_init_fields.tile2.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,665156,,,,
ufs-land_C96_init_fields.tile3.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,665156,,,,
ufs-land_C96_init_fields.tile6.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,665156,,,,
ufs-land_C96_init_2010-12-31_23-00-00.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,1321296,,era5,,
C96_ERA5_forcing_2021-05-11.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2021-03-18.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2019-12-09.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2021-03-27.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2019-12-16.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2020-10-29.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2021-01-16.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
C96_ERA5_forcing_2021-07-29.nc,UFS_Land-DA_Dev,NAGAPE,96,,.nc,12313780,,era5,C96,
